/M0/D X,/M0/D Y
0,1.217749669548199e-12
0.036,3.22146437464671e-12
0.07200000000000001,8.527956253677748e-12
0.108,2.256308770955704e-11
0.144,5.960633451974139e-11
0.18,1.570432634823701e-10
0.216,4.119428472337903e-10
0.252,1.073024750833709e-09
0.288,2.764515233701986e-09
0.3240000000000001,7.004246095410374e-09
0.3600000000000001,1.731502407738876e-08
0.3960000000000001,4.136341267906556e-08
0.4320000000000002,9.454088798621913e-08
0.4680000000000002,2.052033842898255e-07
0.5040000000000002,4.221421539680919e-07
0.5400000000000003,8.270279598256874e-07
0.5760000000000003,1.557764550172155e-06
0.6120000000000003,2.848451782395701e-06
0.6480000000000004,5.081593833825402e-06
0.6840000000000004,8.82297359610619e-06
0.7200000000000004,1.478134210810458e-05
0.7560000000000004,2.365427453685383e-05
0.7920000000000005,3.591889399230195e-05
0.8280000000000005,5.170357932254522e-05
0.8640000000000005,7.081423855084533e-05
0.9000000000000006,9.28615893234481e-05
0.9360000000000006,0.0001173935967499694
0.9720000000000006,0.000143981485258572
1.008000000000001,0.0001722575108483988
1.044000000000001,0.000201922135538279
1.080000000000001,0.0002327370808198408
1.116000000000001,0.0002645141211400896
1.152000000000001,0.0002971041552244061
1.188000000000001,0.0003303881094640336
1.224000000000001,0.0003642698774323625
1.260000000000001,0.0003986710117450267
1.296000000000001,0.0004335267797475802
1.332000000000001,0.0004687832321533345
1.368000000000001,0.000504395008479088
1.404000000000001,0.0005403236751166122
1.440000000000001,0.0005765364495927819
1.476000000000001,0.0006130052073079646
1.512000000000001,0.0006497056974642861
1.548000000000001,0.0006866169161377028
1.584000000000001,0.0007237205991725233
1.620000000000001,0.000761000807789851
1.656000000000001,0.0007984435869288145
1.692000000000001,0.000836036681364396
1.728000000000001,0.0008737692982345778
1.764000000000001,0.0009116319072107572
1.8,0.00094961607146031
